1.{entity|实体}
3.1.24.2.1.{vulgar|俗}  
3.1.24.2.2.{couth|脱俗}  
3.1.24.2.3.{uncouth|土气}  
3.1.24.2.4.{westernized|洋气}  
3.1.25.{CoveringValue|外表值}  
3.1.25.1.{PackingValue|外包装值}  
3.1.25.1.1.{hardback|精装}  
3.1.25.1.2.{paperback|平装}  
3.1.25.2.{AttireValue|装束值}  
3.1.25.2.1.{tidy|整洁}  
3.1.25.2.2.{sloppy|邋遢}  
3.1.25.2.3.{naked|赤裸}  
3.1.25.2.4.{clad|非赤裸}  
3.1.26.{StyleValue|风格值}  
3.1.27.{DemeanorValue|风度值}  
3.1.28.{CountenanceValue|表情值}  
3.1.28.1.{austere|冷峻}  
3.1.29.{PhysicStateValue|物理状态值}  
3.1.29.1.{StateLiquid|液态}  
3.1.29.2.{StateSolid|固态}  
3.1.29.3.{StateGas|气态}  
3.2.{MeasurementValue|量度值}  
3.2.1.{LengthValue|长度值}  
3.2.1.1.{LengthLong|长}  
3.2.1.2.{LengthShort|短}  
3.2.2.{StatureValue|高矮值}  
3.2.2.1.{StatureTall|身高}  
3.2.2.2.{StatureShort|身矮}  
3.2.3.{HeightValue|高度值}  
3.2.3.1.{high|高}  
3.2.3.2.{low|低}  
3.2.4.{SizeValue|尺寸值}  
3.2.4.1.{big|大}  
3.2.4.2.{medium|中}  
3.2.4.3.{small|小}  
3.2.5.{AreaValue|面积值}  
3.2.6.{WidthValue|宽度值}  
3.2.6.1.{broad|广}  
3.2.6.2.{wide|阔}  
3.2.6.3.{narrow|窄}  
3.2.7.{DepthValue|深度值}  
3.2.7.1.{deep|深}  
3.2.7.2.{shallow|浅}  
3.2.8.{ThicknessValue|厚度值}  
3.2.8.1.{thick|厚}  
3.2.8.2.{thin|薄}  
3.2.9.{FinenessValue|粗细值}  
3.2.9.1.{fine|纤}  
3.2.9.2.{widediameter|粗}  
3.2.10.{SlopeValue|坡度值}  
3.2.10.1.{steep|陡}  
3.2.10.2.{gradual|缓}  
3.2.11.{DensityValue|密度值}  
3.2.11.1.{dense|密}  
3.2.11.2.{sparse|疏}  
3.2.12.{TightnessValue|松紧值}  
3.2.12.1.{loose|松}  
3.2.12.2.{tight|紧}  
3.2.13.{HardnessValue|硬度值}  
3.2.13.1.{hard|硬}  
3.2.13.2.{soft|软}  
3.2.13.3.{crisp|脆}  
3.2.13.4.{tender|嫩}  
3.2.13.5.{tough|韧}  
3.2.14.{ConcentrationValue|浓度值}  
3.2.14.1.{watery|稀}  
3.2.14.2.{concentrated|稠}  
3.2.15.{WeightValue|重量值}  
3.2.15.1.{heavy|重}  
3.2.15.2.{NotHeavy|轻}  
3.2.16.{SoundVolumeValue|音量值}  
3.2.16.1.{loud|高声}  
3.2.16.2.{LowVoice|低声}  
3.2.16.3.{shrill|尖声}  
3.2.16.4.{hoarse|沙哑}  
3.2.16.5.{silent|无声}  
3.2.16.6.{talking|有声}  
3.2.17.{DistanceValue|距离值}  
3.2.17.1.{OutOfTheWay|偏僻}  
3.2.17.2.{far|远}  
3.2.17.3.{near|近}  
3.2.18.{SpeedValue|速度值}  
3.2.18.1.{fast|快}  
3.2.18.2.{prompt|旋即}  
3.2.18.3.{slow|慢}  
3.2.18.4.{unhurried|从容}  
3.2.18.5.{hasty|仓促}  
3.2.19.{GradualityValue|渐进性值}  
3.2.19.1.{sudden|骤然}  
3.2.19.2.{stepwise|渐进}  
3.2.20.{TimeLengthValue|久暂值}  
3.2.20.1.{TimeLong|长时间}  
3.2.20.2.{TimeShort|短时间}  
3.2.20.3.{temporary|临时}  
3.2.20.4.{permanent|永久性}  
3.2.21.{DampnessValue|湿度值}  
3.2.21.1.{dried|干}  
3.2.21.2.{wet|湿}  
3.2.21.3.{waterless|旱}  
3.2.21.4.{waterlogging|涝}  
3.2.22.{TemperatureValue|温度值}  
3.2.22.1.{cold|冷}  
3.2.22.2.{hot|热}  
3.2.22.3.{chilly|凉}  
3.2.22.4.{warm|温}  
3.2.23.{PriceValue|价格值}  
3.2.23.1.{cheap|贱}  
3.2.23.2.{expensive|贵}  
3.2.23.3.{FreeOfCharge|免费}  
3.2.24.{StickinessValue|黏度值}  
3.2.24.1.{sticky|黏}  
3.2.24.2.{nonadhesive|不黏}  
3.2.25.{VolumeValue|容积值}  
3.2.26.{BulkValue|体积值}  
3.2.27.{PhysicsPowerValue|功率值}  
3.2.28.{ChargeQuantityValue|电量值}  
3.2.29.{VoltageValue|电压值}  
3.2.30.{ResistanceValue|电阻值}  
3.2.31.{HeatValue|热量值}  
3.2.32.{AngleValue|角度值}  
3.3.{PropertyValue|特性值}  
3.3.1.{NewnessValue|新旧值}  
3.3.1.1.{new|新}  
3.3.1.2.{used|旧}  
3.3.2.{AgeValue|年龄值}  
3.3.2.1.{aged|老年}  
3.3.2.2.{MiddleAge|中年}  
3.3.2.3.{adult|成年}  
3.3.2.4.{young|青年}  
3.3.2.5.{child|少儿}  
3.3.2.6.{AgeOlder|龄大}  
3.3.2.7.{AgeYounger|龄小}  
3.3.3.{QualityValue|质量值}  
3.3.3.1.{TruenessValue|真伪值}  
3.3.3.1.1.{true|真}  
3.3.3.1.2.{fishy|疑似}  
3.3.3.1.3.{fake|伪}  
3.3.3.2.{ProConValue|肯定否定值}  
3.3.3.2.1.{positive|正面}  
